City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
150,kodiak,57.79,-152.4072,3.73,100,100,11.32,US,1675622746
151,harrison,30.4091,-89.0436,22.01,51,0,3.6,US,1675622610
152,kaitangata,-46.2817,169.8464,15.07,84,100,6.7,NZ,1675622633
153,saldanha,-33.0117,17.9442,21.03,87,7,8.76,ZA,1675622746
154,manjacaze,-24.7117,33.8828,22.64,86,0,2.33,MZ,1675622747
155,kyabe,9.4515,18.9449,30.03,12,100,2.19,TD,1675622747
156,dayong,25.0209,118.2898,14.35,98,100,1.27,CN,1675622747
157,lompoc,34.6391,-120.4579,16.12,78,75,7.72,US,1675622457
158,ramshir,30.8946,49.4092,15.86,36,23,1.74,IR,1675622748
159,lata,40.1629,-8.3327,9.22,67,0,2.19,PT,1675622748
160,mayumba,-3.432,10.6554,26.11,84,74,2.73,GA,1675622748
161,tura,25.5198,90.2201,14.99,45,0,1.15,IN,1675622520
162,axim,4.8699,-2.2405,27.25,84,100,4.36,GH,1675622749
163,coquimbo,-29.9533,-71.3436,22.85,64,0,6.69,CL,1675622576
164,kruisfontein,-34.0033,24.7314,21.55,81,54,4.7,ZA,1675622749
165,rio branco,-9.9747,-67.81,29.34,74,75,1.54,BR,1675622750
166,luderitz,-26.6481,15.1594,19.04,76,96,8.58,NA,1675622750
167,vila velha,-20.3297,-40.2925,30.97,75,20,7.2,BR,1675622750
168,new norfolk,-42.7826,147.0587,13.72,64,100,2.24,AU,1675622565
169,gore,-46.1028,168.9436,14.53,89,100,6.5,NZ,1675622751
170,geraldton,-28.7667,114.6,23.23,73,100,3.6,AU,1675622456
171,nishihara,26.1842,127.7558,18.81,94,75,2.57,JP,1675622751
172,xiongzhou,25.1167,114.3,12.81,94,99,0.62,CN,1675622752
173,puerto suarez,-18.95,-57.8,33.31,49,40,2.57,BO,1675622752
174,isangel,-19.55,169.2667,26.82,82,100,2.64,VU,1675622566
175,lorengau,-2.0226,147.2712,27.27,79,100,2.19,PG,1675622752
176,yulara,-25.2406,130.9889,20.4,23,0,4.0,AU,1675622753
177,salalah,17.0151,54.0924,24.05,69,0,1.54,OM,1675622753
178,vanimo,-2.6741,141.3028,25.56,88,100,1.44,PG,1675622753
179,gawler,-34.6,138.7333,15.12,85,7,2.26,AU,1675622754
180,yumen,40.2833,97.2,-3.6,40,11,4.08,CN,1675622754
181,cidreira,-30.1811,-50.2056,27.85,53,1,6.72,BR,1675622755
182,port lincoln,-34.7333,135.8667,15.94,84,6,4.79,AU,1675622755
183,san policarpo,12.1791,125.5072,25.9,86,98,6.22,PH,1675622755
184,soni,-4.85,38.3667,19.03,80,58,1.29,TZ,1675622756
185,deep river,46.1001,-77.4995,0.49,99,100,2.23,CA,1675622565
186,puntarenas,9.9763,-84.8384,31.26,46,91,3.88,CR,1675622756
187,hovd,48.0056,91.6419,-15.8,79,9,1.7,MN,1675622757
188,talnakh,69.4865,88.3972,-18.22,97,100,1.68,RU,1675622757
189,stange,60.718,11.1942,-6.32,98,100,0.77,NO,1675622758
190,glossa,35.4717,23.7763,5.61,79,100,11.91,GR,1675622758
191,prince rupert,54.3161,-130.3201,4.83,79,100,3.6,CA,1675622737
192,melchor de mencos,17.0686,-89.1522,25.0,78,40,2.06,GT,1675622758
193,luwuk,-0.9516,122.7875,25.04,84,100,2.14,ID,1675622759
194,celestun,20.8667,-90.4,24.82,70,63,5.59,MX,1675622759
195,krivosheino,57.3431,83.9261,-20.6,100,94,0.79,RU,1675622760
196,balkanabat,39.5108,54.3671,8.53,53,0,3.6,TM,1675622760
197,clarence town,-32.5833,151.7833,22.53,94,0,0.85,AU,1675622760
198,northam,51.0333,-4.2167,4.1,77,100,2.73,GB,1675622761
199,lahij,13.1667,44.5833,20.59,80,91,1.44,YE,1675622761
200,souillac,-20.5167,57.5167,26.21,89,20,1.54,MU,1675622761
